"category","bagOfWords"
"SHAMPOO","schwarzkopf gliss schwar ultra glued hair repair keratin hwarzkopf ultimate invincible styling conditioner liss verticnli styles götb with uquid ombanle nair& extrcale damage rehair shampoo spiking glue extreme protection shine netwt /$con cuidado cabello (excluye tamaños muestra/viaie)"
"COLD CUTS","cortes frios farmland cooked salami bologna thin bolognaož"
"CHEESE-OTHERS","borden queso bola papa pinto ariedad-reg"
"JUICE-READY TO DRINK","somf some pulp floridas florida nataral natural orange juice jugo florida's palp -reg"
"MILK","leche uh.t reducida grasa precio regular"
"FROZEN PIZZA","cheese pizza pizzas tony's quesó pepperoni"
"FOOD STORAGE","reg. venta jgo. -recipientes plásticos rubbermaid take-a-long."
"SOFT DRINKS","precio reducido pepsi regular"
"RICE","arro arroz grano rico mediano pate -reg $limite paquetes cliente compra. adicional sale"
"SHAMPOO","champú acondicionador pantene pantenevariedad smoot"
"BREAD","holsum hamburger"
"BEER","medalla light $edalla"
"GRAINS","criada riada premium hablchuelas rosad chuclas colorada granos agua rosadas coloradas pintas, blancas, negras garbanzos-reg"
"SHAMPOO","champú acondicionador #derm reco actles head& shouk heads houldersshoulders greer variedad classic clean reen apple"
"CANNED PASTA","chef boyarde salsa spaghetti catballs boyardee albóndigas beef ravioli, beefaroni lasagña- a-reg"
"FEMININE PROTECTION","alvays ultra thin overn flexiwings pads serviettes tomllase toallas sanitarias always thin-variedad"
"OIL","aceite canario vegetal canola"
"FEMININE PROTECTION","daily liners alvays thin lday clean scent einers protectores panty always"
"TUNA","alight chun luna light chunk tuna cedeira agua"
"BREAD","club special blanco integral reg. intpan bread"
"BATH SOAP","olay ultra moisture ultre jabón baño shea butter"
"PASTA","barilla elbows pastas variedad"
"DISHWASHING DETERGENT","liquido fregar done variedad-"
"BATH SOAP","viaje maja plum blossom incluye: crema manos jabón body splash pate tienda."
"COLD CUTS","pechuga pavo butterball \"ready roast\" hueso piel/ cong aprox.c/u reg. reody roast"
"WINE","vino mano tempranillo reg. spts."
"COLD CUTS","pechuga pavo butterball cooked \"fully cooked\" oven baked smoked svt* cong/u.s aprox. reg. fally goked breast"
"SNACKS","papitas stax lay's regular bbq, sour cream cheddar"
"BATH SOAP","colección maja classc jabones maiaano \"tres aromas pąte tienda."
"COLD CUTS","pechuga pavo butterball \"ready roast\" u.s. pate. reg. $pate. ready hoast hueso piel"
"SNACKS","tostitos restaurant style original regular scoop cantina traditional"
"WINE","vinos crimes variedad sc/u"
"SNACKS","puiicom chester's cheese chesters hester puffcorn uffcorn"
"WINE","vino meiomi pinot noir reg. $eiomi pisor"
"SYRUP","sirop pancake special variedad reg. syrup"
"WINE","vino finca villacreces ribera duero $pts."
"SNACKS","cheetos jumbo large eetocrunchy pack"
"WINE","vino federalist dueling pistols $pts."
"SNACKS","lay's cheddar &sour cream classic potato chips sour &onion classi"
"WINE","vino cahoots! piña $pts."
"MILK","vanila bebidas starbucks double shot frappuccino, reg."
"COOKIES/CRACKERS","nabisco mini nilla wafers single serve minvariedadpack packs"
"COFFEE","café arábica nice! reg. premiur roast cafe arabica"
"CANNED VEGETABLES","vegetales goya gove gova variedad sliced beetscut green beas cortadas"
"JUICE-READY TO DRINK","jugo china tropicana reg. onangk juice"
"PANCAKE MIXES","harina pancake aunt jemima quaker variedad"
"JUICE-READY TO DRINK","bebidas welch's reg. welc"
"COOKIES/CRACKERS","nabisco oreo original golden newtons, cameo chips ahoy! chunky goldem orig/"
"MILK","leche reducida craca crasa orden bordev borde borden pqte c/u. reg."
"COOKIES/CRACKERS","nabisco thins variedad oreo"
"SOUPS","sopas campbell's chunky variedad reg. umpéli savor"
"BREAD","club integral blanco nice! nice!, reg."
"COOKIES/CRACKERS","regular fresh stacks, crisp thins toasted chips variedad"
"CEREALS","fiberwhole crain rice afts strawberry cereal pop-tarts kellogg's selecto pop-tarts, pqte reg."
"SIDE DISHES","arroces listos listas gova chicken rice goya variedad"
"PIMIENTOS ENLATADOS","pimientos morones fanu family delight enteros"
"BEER","sangilila puerto silver latas gasolina sangriia bolsas. reg. *disponible seleccionadas."
"KETCHUP","ketchup best value omato"
"OLIVE OIL","aceite oliva special puro extrra virgen lata reg. extra"
"BEER","echo puerto medalla latas reg. seleccionadas."
"TOMATO SAUCE","pasta tomate goya -reg tomato paste fasta"
"SHAMPOO","/$con fructis champú acondicionador leave-in mascarilla cabello estilizadores"
"HOT CEREALS","farina aicena special reg. fari maicena"
"ADOBO","sazonador goya $ova"
"COFFEE CREAMER","coffee creamer best value creareg"
"WINE","a(rimes dcrimes crimes reg. *disponible"
"MILK ADDITIVES","chocolate molido cortés regular lite-pouch chocolat"
"SNACKS","bound eluxe nuts deluxe mixed gold emblem abound fancy, nueces tamaño especial"
"GRAINS","canar gandules verdes hervdosen aglia ysal canario agua sal-"
"VODKA","titos tito's vodka seleccionadas. handma vodea"
"SHAMPOO","loreal elviveelvive repair cecairing protein $/$con l'oréal elvive champú acondicionador estilizadores real (excluye tamaños muestra/viaje) 'oréal"
"COFFEE","café molimolido borinquen borin $stadlecido"
"HOT CEREALS","ouaker quaker oats fashioned pashione avena integral"
"SOUPS","lipton fideas ideos sopa fideos caldo pollo regulr salt-variedads-reg$cu"
"COLD REMEDIES-ADULT","flonase original sensimist aplicaciones"
"MILK","leche evaporada /leche indulac"
"COLD REMEDIES-ADULT","claritin niños claritin-d (excluye masticables un.)t pague cupón óvil-app** obtenerlo después ahorros"
"FROZEN SEAFOOD","pqte tilapia rilets filete numar congelado"
"CEREALS","rain honey cheerios gical icorn cholesterol cereales mills variedad -reg"
"COFFEE","café molido intenso $dutensa"
"COLD REMEDIES-ADULT","reliet nasal spray health aliviocompre alergias (exluyeortenga tamaños muestral viaje productos pseudoefedrina srea, recompensas extrabucks extrabucks® familia"
"FROZEN SEAFOOD","\"filete salmón best congelado $pqte pote"
"SOFRITO &amp; AJO MOLIDO","sofrito huerto verde cúrcuma perejil fsofrito"
"SOFRITO &amp; AJO MOLIDO","huerto molido picado perejil margarina rejil eehuerti molid"
"ANALGESIC-ADULT","naproxenack sodiumm tablets eadache relief cetaminophen obtenga dcto health analgésicos somníferos (excluye niños farmacéutico)."
"FROZEN SEAFOOD","pote senfeod sonfoad seafood numar congelado"
"SNACKS","muttl omegadeluxe canberry health deluxe high enersy snacks nature garder variedad tienda."
"SOFT DRINKS","puerto coca-cola pepsi botella litros límite"
"DETERGENT","blanqueador ariel downy unstopables"
"ADULT VITAMINS","bogo gratis vitaminas nature made nature's bounty optimal solutions proteína polvo health vitaminas, sundown naturals, disney gummies ester-c cc/u ofertas combinarse them love thom raad quality verilie cvsheailth cvshealth. adult natture elatonin gumm natures sundo multi coaa triple strength glucosami chondroit with hair skin-nails tura help supporl healthy hok, skin omegas ummies"
"STOMACH REMEDIES","prunelax ciruelax coated arlts laxante base ciruelas prunelax- minitabs's"
"ANALGESIC-CHILDREN","panadol liquido children's niños acetaminophen liquid pain rellever fever reducer ages years rsspberry flavor"
"SOFRITO &amp; AJO MOLIDO","gente pufo chop perejil reg."
"STOMACH REMEDIES","tums acidez masticable variedad sugar hewybttes"
"FROZEN SEAFOOD","camarón cocido panamei /tail-on congelado-indonesia pate $aname seafood"
"FROZEN SEAFOOD","camarón crudo pesca /devain tail-on congelado indonesia pate reg."
"COLD REMEDIES-ADULT","formula directicks cold non-drowsy panadol acetaminophen pain rellever fever reducer caplets cold+flu"
"FROZEN SEAFOOD","chillo entero pesca congelado indonesia pate reg."
"ANALGESIC-ADULT","extra strength extrastrength acetaminophen caplets panadol caplets'"
"FROZEN SEAFOOD","merluza ruedas pesca china-pate reg."
"FEMININE PROTECTION","security maxi toallas sanitarias kotex variedad"
"FROZEN SEAFOOD","filete chillo paciífico numar congelado -indonesia"
"BATH SOAP","protex jabón bañio variedad /reg."
"FROZEN SEAFOOD","supremo filete abadejo pollock) reg."
"ANALGESIC-ADULT","obtenga dcto: health analgésicos somníferos (excluye niños farmacéutico) back naproxen sodium tablets eatlth etra strength headache relief acetaminophen sprin (nsaid) eltabs"
"SHAMPOO","champú acondicionadon suave professionals variedad conoitione"
"BODY WASH","body wash lves variedad reg. st.ives revitalizing othing"
"ANALGESIC-ADULT","excedrin migraine xtra strengt obtenga reg. recompensas extrabucks familia tarjeta."
"BODY WASH","jabón liquido softsoap variedad ysde coetreg butter"
"MOUTHWASH","enjuagador bucal colgate variedad pro-shield"
"DEODORANT","desodorante dove aerosol barra selección proven +care dryspray fresh extra"
"ANALGESIC-ADULT","tylenol adults acetaminophen extra strength past reiever fever reducer capiets each"
"TOOTHPASTE","colgate pasta dental sensitive event lasting fresh variedad"
"ANALGESIC-ADULT","obtenga aleve bayer aspirina (excluye masticable). ¡alivio justo está spirin (nsaid pain reliever caffeine/pain relever dolor! back body extra strength fast reuef dura horas! strong back& muscle apraxen sodium tablets (nsaid) fever reducer last kours tariets"
"CHEESE-OTHERS","qnaia queso rallado broolfield"
"FOOD WRAP","papel aluminio diamond"
"BEER","coors light"
"ALL PURPOSE CLEANER","fragancias variedad special"
"TOOTHPASTE","olgate colgate cavi protectior pasta dental regular triple action trolls minionso"
"BATH SOAP","dove gentle extoliating extoliant douceur jabón baño variedad"
"DETERGENT","detergente pařa ropa ariel pods gain flings variedad arielcu"
"MEXICAN FOOD","flour tortillas paso burritos fajitas s-reg"
"MEXICAN FOOD","salsa tacos paso mild medium -reg"
"CAT FOOD","comida seca gatos meow variedad choice"
"DETERGENT","limpiol jabón barra -reg"
"MEXICAN FOOD","soft tortiu tortilla bowl ahsoft paso -reg"
"MEXICAN FOOD","shells paso"
"DOG FOOD","bonus size comida seca perros alpo prime cuts come -reg atpo ronus"
"PAIN RELIEF PATCHES","recompensas extrabucks comprar productos familia doan's percogesic, lcyhot, aspercreme, capzasin-hp, bengay, salonpas, biofreeze health advanced tens almohadillas kits terapia estimulación eléctrica transcutánea reg. cvshealth. targeted muscle therapy minor aches pain rellef back neck knees bows extra strengtn odor free ercreme onsalonpas engay analgesic cream strength lidocaine reliever (nsaid) yhot spray relleving gel-patchhot relieves backache numbs away creasy residur patch maximum aspirin strengtha plus menthol backaidma ultra desensitizes aggravated nerves nsaid) backacho: hour reueestrength formula with three ingredients sciatica"
"CAKE MIXES","mezcla bizcochos betty crocke sbety crocker variedad saper /moist"
"DISHWASHING DETERGENT","ocean baeeze liquido frega special variedad -reg."
"FABRIC SOFTENERS","origina suavizador ropa special variedad reg."
"DETERGENT","solar detergente polvo ultra klin ariedadm"
"BATHROOM CLEANER","desinfectante limpiador inodoros sanisol -reg"
"ALL PURPOSE CLEANER","lestoil original"
"DISHWASHING DETERGENT","líquido fregar dawn ultra variedad"
"ALL PURPOSE CLEANER","cloro eoclorox variedad clord"
"DETERGENT","detergente liquido gain variedad"
"INSECTICIDES &amp; REPEL","insecticida black raider variedad aider monau"
"INSECTICIDES &amp; REPEL","repelente mosquitos cutter variedad insecs"
"BODY WASH","fpor c.u. venta ives® jabón líquido variedad"
"COOKIES/CRACKERS","galletas tosh variedad yogurt strawrerries"
"SHAMPOO","suave porreg venta professional gold. champú acondicionador variedad -oz."
"MILK","leche coco special reg. $coci cicomut mill"
"DEODORANT","degree venta desodorante antitranspirante damas caballeros. variedad -oz."
"HOT CEREALS","harina blanca amarilla"
"STOMACH REMEDIES","gavisco regular strengtgaviscon strengtn cool coot reg. venta anti-ácido gaviscon strength. -oz."
"SAUSAGES","salchichas cocktail numeat kache unsca cocktalse ausage weight"
"NUT SUPPLEMENTS","ensure pqte reg. venta ensure® pqte. -botellas -oz."
"KIDS NUT SUPPL","toddler next step pqte precio regular enfagrow ready drink. pate. botellas -oz."
"SNACKS","platanutres wavy yuca caribas caribasfaribas tanutres"
"SAUSAGES","armoi armour venna vehtha sausage estiloviennasalchchas pollo chicken estilo vienna salchicha"
"BATH SOAP","dove menr micellar care elements charcoal clay pqte reg. venta dove® men. jabón barra. pqte."
"LUNCHEON MEAT","fiambre cerd etofiambre cerdo special -reg."
"TOOTHPASTE","sensodyne pronamel repair actively repairs weakened enaml inueva! reg. venta namel® intensive repair. pasta dental. variedad -oz."
"COOKIES/CRACKERS","belvita variedad belvià belia reg. blueberry natural flaver with othe cranberry prange"
"ALL PURPOSE CLEANER","mistolin mistol reg. venta mistolin® variedad -oz."
"CEREALS","acereales post honey bunches oats variedad strawb with almonds"
"DISHWASHING DETERGENT","palmolive ultra strength :por c.u. venta líquido fregar variedad -oz."
"PASTA","fideos goya cabello angel fidelini gruesos gova hair"
"CORNED BEEF","corned beef numeat"
"FABRIC SOFTENERS","reg. venta suavizador downy líquido variedad -oz."
"SALAD DRESSINGS","mayo ketchup goya reg. $ova"
"DETERGENT","ultra ariel reg. venta ariel® detergente líquido -oz."
"BOUILLON","bohio sabor jamon cubitos bohío variedad's"
"SOFT DRINKS","pepsi reg. venta mountain dew, sunkist variedad -lt."
"HOT CEREALS","crema maiz quaker $quaker"
"JUICE-PORTA PACK","caprisun pqte reg. venta capri pqte. variedad sabores. excluye superv jugo."
"CEREALS","corn flakes best value icorn"
"SEASONINGS","cutantro achlote sazón knorr variedad's"
"SNACKS","ciller filler bavu venta bayu variedad -oz."
"BEER","extra pqte reg. venta coronita pate. -botellas -oz. tienda cayey"
"ADOBO","adobo goya pimienta azafrán gova"
"CEREAL BARS","lley aleond barras fiber nature valley variedad $ccu"
"PASTA","best value ziti spag pastas variedad-de regcu"
"ISOTONIC DRINKS","gatorade"
"SPAGHETTI SAUCE","saucesauce nick sauce trusted since raditional salsa pastas ragú ariedad"
"JUICE-READY TO DRINK","criginal picana tropicana"
"CEREALS","cereales kellog's froot loops corn pops apple jacks erunchr"
"CEREALS","$honey cheerios cinnamon crunc oats mills cereales quaker barras granola cereal"
"COOKIES/CRACKERS","soda crag galletas special reg."
"HOT CEREALS","avena quaker gluten free $quaker oats"
"CHEESE-SLICES","queso borden american grilled cheese melts bordern slices sticus"
"TOMATO SAUCE","salsa tomate special variedad reg. /salsa delsa male omale"
"GRAINS","granos criada agua variedad- premium habichuelas rosad coloradas pink beans kidncy beani"
"TOOTHPASTE","centro cupones colgate optic white además dcto cupon instantaneo"
"OIL","aceite maíz arcor $aceite maiz corn"
"SOFT DRINKS","pepsi regularlt peps"
"BEER","busch light latas reg. seleccionadas. farn"
"RICE","arroz special grano mediano pqte bs-reg.$cu egal fortificado peso neto libras) paquetes cliente compra. adicional sale $cu."
"DETERGENT","pods ariel pods, gain flings just basics detergente líquido"
"JUICE-READY TO DRINK","lotus cocktails ariedad /$otus fotus apple"
"JUICE-READY TO DRINK","jugo china tropicana tropi"
"ICE CREAM","edys rich crea grand anti edy's helado cuartos"
"SPARKLING WINE","vino anna codonií variedad"
"LIQUEUR","chil orchata chila $chila"
